rank,city,state,estimate_population_2017,census_2018,change,land_area_miles_2016,land_area_km_2016,population_density_miles_2016,population_density_km_2016,city_link,area_codes,county,area_land,gov_mayor,area_metro,gov_type,area_water,about_city,lattitude,longitude,country
1,New York City,New York,8398748,8175133,+2.74,301.5  ,780.9 ,28317 ,10933,https://en.wikipedia.org/wiki/New_York_City,area code,nan,• land,• mayor,• metro,• type,• water, , 40.663, -73.9387,USA
2,Los Angeles,California,3990456,3792621,+5.22,468.7  ,1213.9 ,8484 ,3276,https://en.wikipedia.org/wiki/Los_Angeles,area codes,county,• land,• mayor,• metro,• type,• water, ,34.0194,-118.4108,USA
3,Chicago,Illinois,2705994,2695598,+0.39,227.3  ,588.7 ,11900 ,4600,https://en.wikipedia.org/wiki/Chicago,area codes,counties,• land,• mayor,• metro,• type,• water, , 41.837, -87.6818,USA
4,Houston,Texas,2325502,2100263,+10.72,637.5  ,1651.1 ,3613 ,1395,https://en.wikipedia.org/wiki/Houston,area codes,counties,• land,• mayor,• metro,• type,nan, , 29.786, -95.3909,USA
5,Phoenix,Arizona,1660272,1445632,+14.85,517.6  ,1340.6 ,3120 ,1200,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",area codes,county,• land,• mayor,• metro,• type,• water, ,33.5722,-112.0901,USA
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81,134.2  ,347.6 ,11683 ,4511,https://en.wikipedia.org/wiki/Philadelphia,area codes,county,• land,• mayor,• metro,• type,• water, , 40.009, -75.1333,USA
7,San Antonio,Texas,1532233,1327407,+15.43,461.0  ,1194.0 ,3238 ,1250,https://en.wikipedia.org/wiki/San_Antonio,area codes,counties,• land,• mayor,• metro,• type,• water, , 29.472, -98.5251,USA
8,San Diego,California,1425976,1307402,+9.07,325.2  ,842.3 ,4325 ,1670,https://en.wikipedia.org/wiki/San_Diego,area codes,county,• land,• mayor,• metro,• type,• water, ,32.8153,-117.1350,USA
9,Dallas,Texas,1345047,1197816,+12.29,340.9  ,882.9 ,3866 ,1493,https://en.wikipedia.org/wiki/Dallas,area codes,counties,• land,• mayor,• metro,• type,• water, , 32.793, -96.7665,USA
10,San Jose,California,1030119,945942,+8.90,177.5  ,459.7 ,5777 ,2231,"https://en.wikipedia.org/wiki/San_Jose,_California",area code,county,• land,• mayor,• metro,• type,• water, ,37.2967,-121.8189,USA
11,Austin,Texas,964254,790390,+22.00,312.7  ,809.9 ,3031 ,1170,"https://en.wikipedia.org/wiki/Austin,_Texas",area codes,counties,• land,• mayor,• metro,• type,• water, , 30.303, -97.7544,USA
12,Jacksonville,Florida,903889,821784,+9.99,747.4  ,1935.8 ,1178 ,455,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 30.336, -81.6616,USA
13,Fort Worth,Texas,895008,741206,+20.75,342.9  ,888.1 ,2491 ,962,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",area codes,counties,• land,• mayor,• metro,• type,• water, , 32.781, -97.3467,USA
14,Columbus,Ohio,892533,787033,+13.40,218.5  ,565.9 ,3936 ,1520,"https://en.wikipedia.org/wiki/Columbus,_Ohio",area codes,counties,• land,• mayor,• metro,nan,• water, , 39.985, -82.9848,USA
15,San Francisco,California,883305,805235,+9.70,46.9  ,121.5 ,18569 ,7170,https://en.wikipedia.org/wiki/San_Francisco,area codes,nan,• land,• mayor,• metro,• type,• water, ,37.7272,-123.0322,USA
16,Charlotte,North Carolina,872498,731424,+19.29,305.4  ,791.0 ,2757 ,1064,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",area codes,county,nan,• mayor,• metro,• type,nan, , 35.207, -80.8310,USA
17,Indianapolis,Indiana,867125,820445,+5.69,361.5  ,936.3 ,2366 ,914,https://en.wikipedia.org/wiki/Indianapolis,area code,county,• land,• mayor,• metro,• type,• water, , 39.776, -86.1459,USA
18,Seattle,Washington,744955,608660,+22.39,83.8  ,217.0 ,8405 ,3245,https://en.wikipedia.org/wiki/Seattle,area code,county,• land,• mayor,• metro,• type,• water, ,47.6205,-122.3509,USA
19,Denver,Colorado,716492,600158,+19.38,153.3  ,397.0 ,4521 ,1746,https://en.wikipedia.org/wiki/Denver,area code,nan,• land,• mayor,• metro,• type,• water, ,39.7619,-104.8811,USA
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74,61.1  ,158.2 ,11148 ,4304,"https://en.wikipedia.org/wiki/Washington,_D.C.",area code,nan,• land,• mayor,• metro,nan,• water, , 38.904, -77.0172,USA
21,Boston,Massachusetts,694583,617594,+12.47,48.3  ,125.1 ,13938 ,5381,https://en.wikipedia.org/wiki/Boston,area codes,county,• land,• mayor,• metro,• type,• water, , 42.332, -71.0202,USA
22,El Paso,Texas,682669,649121,+5.17,256.8  ,665.1 ,2660 ,1030,"https://en.wikipedia.org/wiki/El_Paso,_Texas",area codes,county,• land,nan,• metro,• type,• water, ,31.8484,-106.4270,USA
23,Detroit,Michigan,672662,713777,−5.76,138.8  ,359.5 ,4847 ,1871,https://en.wikipedia.org/wiki/Detroit,area code,county,• land,• mayor,• metro,• type,• water, , 42.383, -83.1022,USA
24,Nashville,Tennessee,669053,601222,+11.28,475.9  ,1232.6 ,1388 ,536,"https://en.wikipedia.org/wiki/Nashville,_Tennessee",area code,county,• land,• mayor,• metro,nan,• water, , 36.171, -86.7850,USA
25,Portland,Oregon,653115,583776,+11.88,133.5  ,345.8 ,4793 ,1851,"https://en.wikipedia.org/wiki/Portland,_Oregon",area codes,counties,• land,• mayor,• metro,• type,• water, ,45.5370,-122.6500,USA
26,Memphis,Tennessee,650618,646889,+0.58,317.4  ,822.1 ,2056 ,794,"https://en.wikipedia.org/wiki/Memphis,_Tennessee",area code,county,• land,• mayor,• metro,nan,• water, , 35.102, -89.9774,USA
27,Oklahoma City,Oklahoma,649021,579999,+11.90,606.3  ,1570.3 ,1053 ,407,https://en.wikipedia.org/wiki/Oklahoma_City,area code,counties,• land,• mayor,• metro,• type,• water, , 35.467, -97.5137,USA
28,Las Vegas,Nevada,644644,583756,+10.43,134.4  ,348.1 ,4709 ,1818,https://en.wikipedia.org/wiki/Las_Vegas,nan,county,• land,• mayor,• metro,• type,• water, ,36.2292,-115.2601,USA
29,Louisville,Kentucky,620118,597337,+3.81,263.5  ,682.5 ,2339 ,903,"https://en.wikipedia.org/wiki/Louisville,_Kentucky",area code,county,• land,• mayor,• metro,• type,• water, , 38.165, -85.6474,USA
30,Baltimore,Maryland,602495,620961,−2.97,80.9  ,209.5 ,7598 ,2934,https://en.wikipedia.org/wiki/Baltimore,area codes,county,• land,• mayor,• metro,• type,• water, , 39.300, -76.6105,USA
31,Milwaukee,Wisconsin,592025,594833,−0.47,96.2  ,249.2 ,6186 ,2388,https://en.wikipedia.org/wiki/Milwaukee,area code,counties,• land,• mayor,• metro,• type,• water, , 43.063, -87.9667,USA
32,Albuquerque,New Mexico,560218,545852,+2.63,188.2  ,487.4 ,2972 ,1147,"https://en.wikipedia.org/wiki/Albuquerque,_New_Mexico",area codes,county,• land,• mayor,• metro,• type,• water, ,35.1056,-106.6474,USA
33,Tucson,Arizona,545975,520116,+4.97,230.8  ,597.8 ,2299 ,888,"https://en.wikipedia.org/wiki/Tucson,_Arizona",area code,county,• land,• mayor,• metro,• type,• water, ,32.1531,-110.8706,USA
34,Fresno,California,530093,494665,+7.16,114.4  ,296.3 ,4563 ,1762,"https://en.wikipedia.org/wiki/Fresno,_California",nan,nan,nan,nan,nan,nan,nan, ,36.7836,-119.7934,USA
35,Mesa,Arizona,508958,439041,+15.92,137.9  ,357.2 ,3514 ,1357,"https://en.wikipedia.org/wiki/Mesa,_Arizona",area code,county,• land,• mayor,• metro,nan,• water, ,33.4019,-111.7174,USA
36,Sacramento,California,508529,466488,+9.01,97.9  ,253.6 ,5059 ,1953,"https://en.wikipedia.org/wiki/Sacramento,_California",area code,county,• land,• mayor,• metro,• type,• water, ,38.5666,-121.4686,USA
37,Atlanta,Georgia,498044,420003,+18.58,133.5  ,345.8 ,3539 ,1366,https://en.wikipedia.org/wiki/Atlanta,area codes,counties,• land,• mayor,• metro,nan,• water, , 33.762, -84.4227,USA
38,Kansas City,Missouri,491918,459787,+6.99,315.0  ,815.8 ,1528 ,590,"https://en.wikipedia.org/wiki/Kansas_City,_Missouri",area codes,counties,• land,• mayor,• metro,nan,• water, , 39.125, -94.5510,USA
39,Colorado Springs,Colorado,472688,416427,+13.51,195.6  ,506.6 ,2378 ,918,"https://en.wikipedia.org/wiki/Colorado_Springs,_Colorado",area code,county,• land,• mayor,• metro,• type,• water, ,38.8673,-104.7607,USA
40,Miami,Florida,470914,399457,+17.89,36.0  ,93.2 ,12599 ,4865,https://en.wikipedia.org/wiki/Miami,area code,county,• land,• mayor,• metro,• type,• water, , 25.775, -80.2086,USA
41,Raleigh,North Carolina,469298,403892,+16.19,145.1  ,375.8 ,3163 ,1221,"https://en.wikipedia.org/wiki/Raleigh,_North_Carolina",area code,counties,• land,• mayor,nan,• type,• water, , 35.830, -78.6418,USA
42,Omaha,Nebraska,468262,408958,+14.50,133.2  ,345.0 ,3356 ,1296,"https://en.wikipedia.org/wiki/Omaha,_Nebraska",area code,county,• land,• mayor,• metro,nan,• water, , 41.264, -96.0451,USA
43,Long Beach,California,467354,462257,+1.10,50.3  ,130.3 ,9347 ,3609,"https://en.wikipedia.org/wiki/Long_Beach,_California",area code,county,• land,• mayor,• metro,• type,• water, ,33.8092,-118.1553,USA
44,Virginia Beach,Virginia,450189,437994,+2.78,244.7  ,633.8 ,1850 ,710,"https://en.wikipedia.org/wiki/Virginia_Beach,_Virginia",nan,county,• land,• mayor,• metro,• type,• water, , 36.780, -76.0252,USA
45,Oakland,California,429082,390724,+9.82,55.9  ,144.8 ,7514 ,2901,"https://en.wikipedia.org/wiki/Oakland,_California",area code,county,• land,• mayor,nan,• type,• water, ,37.7698,-122.2257,USA
46,Minneapolis,Minnesota,425403,382578,+11.19,54.0  ,139.9 ,7660 ,2960,https://en.wikipedia.org/wiki/Minneapolis,area code,county,• land,• mayor,• metro,• type,• water, , 44.963, -93.2683,USA
47,Tulsa,Oklahoma,400669,391906,+2.24,196.8  ,509.7 ,2048 ,791,"https://en.wikipedia.org/wiki/Tulsa,_Oklahoma",area code,counties,• land,• mayor,• metro,• type,• water, , 36.127, -95.9023,USA
48,Arlington,Texas,398112,365438,+8.94,95.8  ,248.1 ,4100 ,1600,"https://en.wikipedia.org/wiki/Arlington,_Texas",area codes,county,• land,• mayor,• metro,• type,• water, , 32.700, -97.1247,USA
49,Tampa,Florida,392890,335709,+17.03,113.4  ,293.7 ,3326 ,1284,"https://en.wikipedia.org/wiki/Tampa,_Florida",nan,nan,nan,nan,nan,nan,nan, , 27.970, -82.4797,USA
50,New Orleans,Louisiana,391006,343829,+13.72,169.4  ,438.7 ,2311 ,892,https://en.wikipedia.org/wiki/New_Orleans,nan,nan,• land,• mayor,• metro,• type,• water, , 30.053, -89.9345,USA
51,Wichita,Kansas,389255,382368,+1.80,160.4  ,415.4 ,2431 ,939,"https://en.wikipedia.org/wiki/Wichita,_Kansas",area code,county,• land,• mayor,• metro,• type,• water, , 37.690, -97.3459,USA
52,Cleveland,Ohio,383793,396815,−3.28,77.7  ,201.2 ,4965 ,1917,https://en.wikipedia.org/wiki/Cleveland,area code,county,• land,• mayor,• metro,• type,• water, , 41.478, -81.6794,USA
53,Bakersfield,California,383579,347483,+10.39,148.8  ,385.4 ,2529 ,976,"https://en.wikipedia.org/wiki/Bakersfield,_California",area code,county,• land,• mayor,• metro,• type,• water, ,35.3212,-119.0183,USA
54,Aurora,Colorado,374114,325078,+15.08,153.5  ,397.6 ,2356 ,910,"https://en.wikipedia.org/wiki/Aurora,_Colorado",area codes,counties,• land,• mayor,• metro,• type,• water, ,39.6880,-104.6897,USA
55,Anaheim,California,352005,336265,+4.68,50.0  ,129.5 ,7021 ,2711,"https://en.wikipedia.org/wiki/Anaheim,_California",area codes,county,• land,• mayor,nan,nan,• water, ,33.8555,-117.7601,USA
56,Honolulu,Hawaii,347397,337256,+3.01,60.5  ,156.7 ,5815 ,2245,https://en.wikipedia.org/wiki/Honolulu,area code,county,• land,• mayor,• metro,nan,• water, ,21.3243,-157.8476,USA
57,Santa Ana,California,332725,324528,+2.53,27.1  ,70.2 ,12333 ,4762,"https://en.wikipedia.org/wiki/Santa_Ana,_California",area code,county,• land,• mayor,nan,nan,• water, ,33.7363,-117.8830,USA
58,Riverside,California,330063,303871,+8.62,81.2  ,210.3 ,3999 ,1544,"https://en.wikipedia.org/wiki/Riverside,_California",area code,county,• land,nan,nan,• type,• water, ,33.9381,-117.3932,USA
59,Corpus Christi,Texas,326554,305215,+6.99,174.6  ,452.2 ,1866 ,720,"https://en.wikipedia.org/wiki/Corpus_Christi,_Texas",area code,counties,• land,nan,• metro,• type,• water, , 27.754, -97.1734,USA
60,Lexington,Kentucky,323780,295803,+9.46,283.6  ,734.5 ,1123 ,434,"https://en.wikipedia.org/wiki/Lexington,_Kentucky",area code,counties,• land,• mayor,• metro,nan,• water, , 38.040, -84.4583,USA
61,Stockton,California,311178,291707,+6.67,61.7  ,159.8 ,4977 ,1922,"https://en.wikipedia.org/wiki/Stockton,_California",area code,county,• land,• mayor,• metro,• type,• water, ,37.9763,-121.3133,USA
62,Henderson,Nevada,310390,257729,+20.43,104.7  ,271.2 ,2798 ,1080,"https://en.wikipedia.org/wiki/Henderson,_Nevada",area code,county,• land,• mayor,nan,• type,• water, ,36.0097,-115.0357,USA
63,Saint Paul,Minnesota,307695,285068,+7.94,52.0  ,134.7 ,5815 ,2245,"https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota",area code,county,• land,• mayor,• metro,nan,• water, , 44.948, -93.1041,USA
64,St. Louis,Missouri,302838,319294,−5.15,62.0  ,160.6 ,5023 ,1939,https://en.wikipedia.org/wiki/St._Louis,area code,nan,• land,• mayor,• metro,• type,• water, , 38.635, -90.2446,USA
65,Cincinnati,Ohio,302605,296943,+1.91,77.4  ,200.5 ,3860 ,1490,https://en.wikipedia.org/wiki/Cincinnati,area code,county,• land,• mayor,• metro,• type,• water, , 39.140, -84.5058,USA
66,Pittsburgh,Pennsylvania,301048,305704,−1.52,55.4  ,143.5 ,5481 ,2116,https://en.wikipedia.org/wiki/Pittsburgh,area codes,county,• land,• mayor,• metro,• type,• water, , 40.439, -79.9766,USA
67,Greensboro,North Carolina,294722,269666,+9.29,128.3  ,332.3 ,2237 ,864,"https://en.wikipedia.org/wiki/Greensboro,_North_Carolina",area code,county,• land,• mayor,nan,• type,• water, , 36.095, -79.8270,USA
68,Anchorage,Alaska,291538,291826,−0.10,1706.6  ,4420.1 ,175 ,68,"https://en.wikipedia.org/wiki/Anchorage,_Alaska",area code,nan,• land,• mayor,• metro,nan,• water, ,61.1743,-149.2843,USA
69,Plano,Texas,288061,259841,+10.86,71.7  ,185.7 ,3990 ,1540,"https://en.wikipedia.org/wiki/Plano,_Texas",area codes,counties,• land,• mayor,• metro,• type,• water, , 33.050, -96.7479,USA
70,Lincoln,Nebraska,287401,258379,+11.23,92.1  ,238.5 ,3044 ,1175,"https://en.wikipedia.org/wiki/Lincoln,_Nebraska",area codes,county,• land,• mayor,• metro,• type,• water, , 40.810, -96.6803,USA
71,Orlando,Florida,285713,238300,+19.90,105.2  ,272.5 ,2635 ,1017,"https://en.wikipedia.org/wiki/Orlando,_Florida",area codes,county,• land,• mayor,• metro,• type,• water, , 28.416, -81.2736,USA
72,Irvine,California,282572,212375,+33.05,65.6  ,169.9 ,4057 ,1566,"https://en.wikipedia.org/wiki/Irvine,_California",area codes,county,• land,• mayor,nan,• type,• water, ,33.6784,-117.7713,USA
73,Newark,New Jersey,282090,277140,+1.79,24.1  ,62.4 ,11691 ,4514,"https://en.wikipedia.org/wiki/Newark,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.724, -74.1726,USA
74,Toledo,Ohio,274975,287208,−4.26,80.7  ,209.0 ,3451 ,1332,"https://en.wikipedia.org/wiki/Toledo,_Ohio",area codes,county,• land,• mayor,• metro,nan,• water, , 41.664, -83.5819,USA
75,Durham,North Carolina,274291,228330,+20.13,109.8  ,284.4 ,2395 ,925,"https://en.wikipedia.org/wiki/Durham,_North_Carolina",area code,county,• land,• mayor,• metro,• type,• water, , 35.981, -78.9029,USA
76,Chula Vista,California,271651,243916,+11.37,49.6  ,128.5 ,5387 ,2080,"https://en.wikipedia.org/wiki/Chula_Vista,_California",area code,county,• land,nan,• metro,• type,• water, ,32.6277,-117.0152,USA
77,Fort Wayne,Indiana,267633,253691,+5.50,110.6  ,286.5 ,2391 ,923,"https://en.wikipedia.org/wiki/Fort_Wayne,_Indiana",area code,county,• land,• mayor,• metro,• type,• water, , 41.088, -85.1439,USA
78,Jersey City,New Jersey,265549,247597,+7.25,14.8  ,38.3 ,17848 ,6891,"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",area code,county,• land,• mayor,nan,• type,• water, , 40.711, -74.0648,USA
79,St. Petersburg,Florida,265098,244769,+8.31,61.8  ,160.1 ,4223 ,1631,"https://en.wikipedia.org/wiki/St._Petersburg,_Florida",nan,nan,nan,nan,nan,nan,nan, , 27.762, -82.6441,USA
80,Laredo,Texas,261639,236091,+10.82,101.1  ,261.8 ,2544 ,982,"https://en.wikipedia.org/wiki/Laredo,_Texas",area code,county,• land,• mayor,• metro,• type,• water, , 27.560, -99.4892,USA
81,Madison,Wisconsin,258054,233209,+10.65,77.0  ,199.4 ,3280 ,1270,"https://en.wikipedia.org/wiki/Madison,_Wisconsin",nan,county,• land,• mayor,• metro,nan,• water, , 43.087, -89.4299,USA
82,Chandler,Arizona,257165,236123,+8.91,64.9  ,168.1 ,3813 ,1472,"https://en.wikipedia.org/wiki/Chandler,_Arizona",area code,county,• land,• mayor,nan,• type,• water, ,33.2829,-111.8549,USA
83,Buffalo,New York,256304,261310,−1.92,40.4  ,104.6 ,6359 ,2455,"https://en.wikipedia.org/wiki/Buffalo,_New_York",area code,county,• land,• mayor,• metro,nan,• water, , 42.892, -78.8597,USA
84,Lubbock,Texas,255885,229573,+11.46,124.6  ,322.7 ,2027 ,783,"https://en.wikipedia.org/wiki/Lubbock,_Texas",area code,county,• land,• mayor,• metro,• type,• water, ,33.5656,-101.8867,USA
85,Scottsdale,Arizona,255310,217385,+17.45,183.9  ,476.3 ,1341 ,518,"https://en.wikipedia.org/wiki/Scottsdale,_Arizona",nan,nan,nan,nan,nan,nan,nan, ,33.6843,-111.8611,USA
86,Reno,Nevada,250998,225221,+11.45,107.3  ,277.9 ,2286 ,883,"https://en.wikipedia.org/wiki/Reno,_Nevada",area code,county,• land,• mayor,• metro,• type,• water, ,39.5491,-119.8499,USA
87,Glendale,Arizona,250702,226721,+10.58,59.1  ,153.1 ,4161 ,1607,"https://en.wikipedia.org/wiki/Glendale,_Arizona",area code,county,• land,• mayor,nan,nan,• water, ,33.5331,-112.1899,USA
88,Gilbert,Arizona,248279,208453,+19.11,68.0  ,176.1 ,3487 ,1346,"https://en.wikipedia.org/wiki/Gilbert,_Arizona",area code,county,• land,• mayor,• metro,nan,• water, ,33.3103,-111.7431,USA
89,Winston–Salem,North Carolina,246328,229617,+7.28,132.5  ,343.2 ,1828 ,706,"https://en.wikipedia.org/wiki/Winston%E2%80%93Salem,_North_Carolina",nan,counties,• land,• mayor,nan,nan,• water, , 36.102, -80.2610,USA
90,North Las Vegas,Nevada,245949,216961,+13.36,98.0  ,253.8 ,2436 ,941,"https://en.wikipedia.org/wiki/North_Las_Vegas,_Nevada",nan,nan,nan,nan,nan,nan,nan, ,36.2857,-115.0939,USA
91,Norfolk,Virginia,244076,242803,+0.52,53.3  ,138.0 ,4599 ,1776,"https://en.wikipedia.org/wiki/Norfolk,_Virginia",area code,nan,• land,• mayor,• metro,nan,• water, , 36.923, -76.2446,USA
92,Chesapeake,Virginia,242634,222209,+9.19,338.5  ,876.7 ,703 ,271,"https://en.wikipedia.org/wiki/Chesapeake,_Virginia",area code,county,• land,• mayor,• metro,• type,• water, , 36.679, -76.3018,USA
93,Garland,Texas,242507,226876,+6.89,57.0  ,147.6 ,4122 ,1592,"https://en.wikipedia.org/wiki/Garland,_Texas",area code,county,• land,nan,nan,• type,• water, , 32.909, -96.6303,USA
94,Irving,Texas,242242,216290,+12.00,67.0  ,173.5 ,3557 ,1373,"https://en.wikipedia.org/wiki/Irving,_Texas",area code,county,• land,nan,• metro,• type,• water, , 32.857, -96.9700,USA
95,Hialeah,Florida,238942,224669,+6.35,21.5  ,55.7 ,10995 ,4245,"https://en.wikipedia.org/wiki/Hialeah,_Florida",area code,county,• land,• mayor,• metro,• type,• water, , 25.869, -80.3029,USA
96,Fremont,California,237807,214089,+11.08,77.5  ,200.7 ,3008 ,1161,"https://en.wikipedia.org/wiki/Fremont,_California",area code,county,• land,nan,nan,• type,• water, ,37.4945,-121.9412,USA
97,Boise,Idaho,228790,205671,+11.24,82.1  ,212.6 ,2718 ,1049,"https://en.wikipedia.org/wiki/Boise,_Idaho",area code,county,• land,• mayor,• metro,• type,• water, ,43.6002,-116.2317,USA
98,Richmond,Virginia,228783,204214,+12.03,59.8  ,154.9 ,3732 ,1441,"https://en.wikipedia.org/wiki/Richmond,_Virginia",area code,county,• land,• mayor,• metro,nan,• water, , 37.531, -77.4760,USA
99,Baton Rouge,Louisiana,221599,229493,−3.44,85.9  ,222.5 ,2651 ,1024,"https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana",area code,nan,• land,nan,• metro,nan,• water, , 30.442, -91.1309,USA
100,Spokane,Washington,219190,208916,+4.92,68.7  ,177.9 ,3144 ,1214,"https://en.wikipedia.org/wiki/Spokane,_Washington",area code,county,• land,• mayor,• metro,• type,• water, ,47.6669,-117.4333,USA
101,Des Moines,Iowa,216853,203433,+6.60,88.9  ,230.2 ,2424 ,936,"https://en.wikipedia.org/wiki/Des_Moines,_Iowa",area code,counties,• land,• mayor,• metro,• type,• water, , 41.572, -93.6102,USA
102,Tacoma,Washington,216279,198397,+9.01,49.7  ,128.7 ,4251 ,1641,"https://en.wikipedia.org/wiki/Tacoma,_Washington",area code,county,• land,• mayor,• metro,• type,• water, ,47.2522,-122.4598,USA
103,San Bernardino,California,215941,209924,+2.87,61.5  ,159.3 ,3516 ,1358,"https://en.wikipedia.org/wiki/San_Bernardino,_California",area code,county,• land,• mayor,• metro,• type,• water, ,34.1416,-117.2936,USA
104,Modesto,California,215030,201165,+6.89,43.0  ,111.4 ,4934 ,1905,"https://en.wikipedia.org/wiki/Modesto,_California",nan,nan,nan,nan,nan,nan,nan, ,37.6375,-121.0030,USA
